No,Score,Label,Xmin,Ymin,Xmax,Ymax,Correct
13,0.5016403198242188,Notwaza,100.42315673828125,169.33615112304688,136.18064880371094,229.699951171875,False
114,0.6729766130447388,Notwaza,77.08563995361328,161.53480529785156,102.30352020263672,209.6040802001953,False
115,0.629565417766571,Notwaza,77.25178527832031,161.00596618652344,103.02403259277344,210.1145477294922,False
268,0.6706322431564331,Notwaza,83.40662384033203,171.7640380859375,120.58808135986328,226.43392944335938,False
269,0.5882366299629211,Notwaza,83.53901672363281,170.79672241210938,120.66087341308594,227.41314697265625,False
297,0.5556628704071045,B-air,42.55592346191406,122.79768371582031,76.2965316772461,180.0266571044922,False
379,0.5279444456100464,F-throw,94.40068054199219,263.1191711425781,263.3975830078125,328.0197448730469,False
429,0.5603606104850769,Notwaza,73.81610870361328,170.36770629882812,110.94408416748047,219.66683959960938,False
430,0.6009474396705627,Notwaza,74.0184097290039,170.53781127929688,111.00028228759766,219.82537841796875,False
431,0.5107168555259705,Notwaza,74.48217010498047,167.9934539794922,110.41771697998047,220.4907684326172,False
432,0.5490650534629822,Notwaza,74.58049774169922,168.2518310546875,110.6003646850586,220.5870361328125,False
433,0.5612943172454834,Notwaza,76.05142974853516,170.04898071289062,109.55384063720703,219.97695922851562,False
434,0.5248676538467407,Notwaza,76.1681137084961,169.69361877441406,109.65235137939453,220.2324676513672,False
460,0.5534479022026062,Grab,118.68251037597656,271.481201171875,215.96128845214844,319.50738525390625,False
461,0.5373307466506958,Grab,120.05154418945312,271.3458557128906,214.84970092773438,319.4792785644531,False
492,0.5100153088569641,Grab,120.07257843017578,274.1969909667969,214.38653564453125,317.8764953613281,False
493,0.5394900441169739,Grab,119.68365478515625,274.04541015625,214.3658447265625,317.96484375,False
494,0.5529544949531555,Grab,122.11184692382812,272.2104797363281,216.2974853515625,318.2608337402344,False
495,0.5632115006446838,Grab,121.53555297851562,272.54791259765625,216.8646240234375,318.2716064453125,False
514,0.6921288967132568,Notwaza,84.91385650634766,153.193359375,114.51456451416016,223.7652587890625,False
515,0.6498286724090576,Notwaza,85.25289916992188,154.08120727539062,114.90707397460938,223.00357055664062,False
516,0.6064417958259583,Notwaza,84.89608001708984,151.32579040527344,114.7346420288086,222.8944854736328,False
517,0.6323720216751099,Notwaza,85.0831527709961,151.75735473632812,114.39855194091797,222.51992797851562,False
550,0.9392516016960144,Notwaza,71.65805053710938,166.9232635498047,109.50088500976562,222.45018005371094,False
551,0.9482866525650024,Notwaza,71.04068756103516,166.86297607421875,108.97318267822266,222.9334716796875,False
808,0.5217552781105042,Notwaza,192.896484375,288.49755859375,284.9165344238281,327.697021484375,False
810,0.5810077786445618,Notwaza,192.23077392578125,288.3228759765625,284.8738708496094,327.9261474609375,False
811,0.6233807802200317,Notwaza,192.27676391601562,288.033203125,284.7737731933594,327.85540771484375,False
1034,0.5626177787780762,Notwaza,86.88043212890625,150.2528839111328,116.03756713867188,221.60646057128906,False
1035,0.5629120469093323,Notwaza,86.89540100097656,150.25408935546875,116.01850891113281,221.60549926757812,False
1036,0.5612456798553467,Notwaza,86.86310577392578,150.20237731933594,116.03046417236328,221.6444854736328,False
1037,0.5594095587730408,Notwaza,86.86621856689453,150.22589111328125,116.02388763427734,221.62957763671875,False
1038,0.5637953281402588,Notwaza,86.86852264404297,150.25253295898438,116.08336639404297,221.62530517578125,False
1090,0.5838517546653748,Notwaza,85.44178009033203,151.69036865234375,116.7839126586914,218.861083984375,False
1091,0.55833500623703,Notwaza,84.96238708496094,151.42837524414062,116.69654846191406,219.37307739257812,False
1118,0.5208303928375244,Notwaza,83.91505432128906,152.69491577148438,118.16218566894531,218.93316650390625,False
1119,0.5939381122589111,Notwaza,84.32537078857422,152.8080291748047,117.57599639892578,219.1368865966797,False
1120,0.6084228157997131,Notwaza,85.34151458740234,151.5102996826172,117.79039764404297,218.7559356689453,False
1121,0.5765994191169739,Notwaza,85.1133041381836,152.25326538085938,118.7405776977539,217.71942138671875,False
1190,0.5498275756835938,Notwaza,86.36941528320312,153.86460876464844,119.70425415039062,216.72740173339844,False
1191,0.5161552429199219,Notwaza,86.48584747314453,153.62466430664062,119.6994857788086,216.43771362304688,False
1200,0.5875715017318726,Notwaza,84.80618286132812,151.86114501953125,119.50918579101562,218.73757934570312,False
1201,0.5264391899108887,Notwaza,84.9829330444336,151.52517700195312,119.2383041381836,218.84341430664062,False
1219,0.5199448466300964,Grab-blow,34.20652770996094,103.66605377197266,181.38247680664062,234.94232177734375,False
1224,0.5864372849464417,Side-B,98.67638397216797,55.62598419189453,137.60862731933594,80.73839569091797,False
1225,0.579367995262146,Side-B,98.58206176757812,55.76039123535156,137.8227081298828,80.71615600585938,False
1226,0.9003614783287048,Side-B,99.7453842163086,30.229122161865234,131.02020263671875,56.05702590942383,False
1227,0.9074010848999023,Side-B,99.7198486328125,30.3895263671875,131.4759063720703,56.05780029296875,False
1236,0.5774260759353638,D-air,75.79350280761719,182.06565856933594,135.0387420654297,222.2588653564453,False
1237,0.5469406843185425,D-air,75.66348266601562,182.12998962402344,135.19261169433594,222.30384826660156,False
1253,0.5437444448471069,Notwaza,88.59632873535156,160.49560546875,123.21859741210938,216.56539916992188,False
1259,0.504063069820404,Notwaza,85.09626007080078,150.40594482421875,119.75589752197266,219.19216918945312,False
