No,Score,Label,Xmin,Ymin,Xmax,Ymax,Correct
0,0.9835143089294434,Notwaza,93.80668640136719,137.84112548828125,173.06117248535156,238.4305419921875,False
1,0.9835520386695862,Notwaza,93.77915954589844,137.80398559570312,173.08473205566406,238.48947143554688,False
2,0.9241349101066589,Notwaza,92.93267822265625,135.068603515625,168.56063842773438,239.73046875,False
3,0.921945333480835,Notwaza,92.74993896484375,135.2825927734375,168.78439331054688,239.58810424804688,False
4,0.9255791306495667,Notwaza,86.0564193725586,123.68465423583984,165.52218627929688,249.39718627929688,False
5,0.9184067845344543,Notwaza,86.9578857421875,123.22747039794922,165.07298278808594,249.70474243164062,False
6,0.9341315627098083,Notwaza,80.79838562011719,123.87513732910156,166.3855438232422,248.21498107910156,False
7,0.9280654788017273,Notwaza,81.21340942382812,124.56861114501953,166.2018280029297,247.70315551757812,False
8,0.9738184213638306,Notwaza,80.49457550048828,126.58414459228516,165.50167846679688,243.28994750976562,False
9,0.9691466093063354,Notwaza,80.42516326904297,125.23462677001953,165.22311401367188,244.46502685546875,False
10,0.834925651550293,Notwaza,85.0902099609375,143.39553833007812,163.88983154296875,246.33255004882812,False
11,0.9087936282157898,Notwaza,86.55778503417969,144.9326629638672,161.82606506347656,244.97193908691406,False
18,0.6404898166656494,Notwaza,23.993999481201172,138.2676239013672,137.38377380371094,232.65757751464844,False
19,0.6540955901145935,Notwaza,25.894039154052734,136.8657989501953,136.45762634277344,234.22972106933594,False
20,0.8171733021736145,Notwaza,-3.0223045349121094,133.38853454589844,120.96295166015625,229.9318389892578,False
21,0.8581733107566833,Notwaza,-4.5455322265625,135.04005432128906,122.0201416015625,228.9616241455078,False
22,0.9222071766853333,Notwaza,2.7597808837890625,130.90286254882812,108.71916961669922,220.30307006835938,False
23,0.933009922504425,Notwaza,3.7371063232421875,129.90106201171875,108.39044189453125,220.5731201171875,False
24,0.7360478639602661,Notwaza,-1.0521888732910156,133.38365173339844,101.83590698242188,218.02442932128906,False
25,0.701890230178833,Notwaza,-2.0322952270507812,133.332275390625,102.2774429321289,218.58609008789062,False
26,0.5009127259254456,Notwaza,-2.4409828186035156,127.02557373046875,103.32771301269531,221.52099609375,False
27,0.6318157911300659,Notwaza,-0.832672119140625,126.49095916748047,102.11587524414062,221.84341430664062,False
28,0.8991013765335083,Notwaza,1.8203582763671875,144.087158203125,100.27423095703125,214.1119384765625,False
29,0.8893651366233826,Notwaza,1.0849876403808594,142.02511596679688,99.89872741699219,215.37750244140625,False
